Ad_ID,Campaign_Name,Date,Impressions,Clicks,Conversions,Ad_Spend ($),Revenue ($),Engagements,ROAS
1045,Winter Discount,2025-03-15,112412,10336,518,4327,6085,49800,1.41
1046,Holiday Special,2025-03-16,73751,1493,238,4763,10520,8237,2.21
1047,New Arrivals,2025-03-17,181734,1306,875,3997,4867,22479,1.22
1048,Black Friday,2025-03-18,183895,1845,536,1062,9323,40119,8.78
1049,Winter Discount,2025-03-19,26359,5142,1231,1309,23911,32532,18.27
1050,Holiday Special,2025-03-20,129633,9996,1034,2458,8182,17913,3.33
1051,New Arrivals,2025-03-21,45450,4186,498,4785,13110,29035,2.74
1052,Winter Discount,2025-03-22,136374,13699,1484,4935,7168,10633,1.45
1053,Summer Sale,2025-03-23,31188,13070,1094,1601,24719,20120,15.44
1054,New Arrivals,2025-03-24,196435,10762,227,2883,784,30743,0.27
1055,Black Friday,2025-03-25,39397,827,669,3431,2637,36084,0.77
1056,New Arrivals,2025-03-26,46463,3228,1206,4735,24056,15765,5.08
1057,Summer Sale,2025-03-27,51815,4096,126,4311,10446,44118,2.42
1058,New Arrivals,2025-03-28,159658,2526,1800,4063,3011,18805,0.74
1059,New Arrivals,2025-03-29,49887,900,225,731,23080,24749,31.57
1060,New Arrivals,2025-03-30,108268,2707,188,2453,4711,43915,1.92
1061,Summer Sale,2025-03-01,161056,7925,762,3260,5577,48380,1.71
1062,Black Friday,2025-03-02,151887,3835,1314,176,20369,8521,115.73
1063,New Arrivals,2025-03-03,132780,8661,1288,3721,809,18605,0.22
1064,Black Friday,2025-03-04,14835,13775,1504,2865,6390,27532,2.23
1065,Holiday Special,2025-03-05,31627,10970,1074,516,23067,31291,44.7
1066,Black Friday,2025-03-06,164158,7484,1231,1252,9611,39624,7.68
1067,Holiday Special,2025-03-07,79894,6450,1082,3454,14380,10542,4.16
1068,Summer Sale,2025-03-08,113611,14954,1223,3871,9089,33966,2.35
1069,New Arrivals,2025-03-09,114472,12133,960,1613,19176,26917,11.89
1070,Winter Discount,2025-03-10,145540,14442,1675,2061,2941,7485,1.43
1071,Black Friday,2025-03-11,158043,11248,153,1275,15369,48209,12.05
1072,Holiday Special,2025-03-12,124915,14957,1607,4954,12611,25443,2.55
1073,Black Friday,2025-03-13,41080,14496,1810,1948,1025,44132,0.53
1074,Summer Sale,2025-03-14,172433,624,596,1951,24427,46192,12.52
1075,Black Friday,2025-03-15,156748,12287,1648,4505,13652,7132,3.03
1076,Summer Sale,2025-03-16,100603,7786,1258,4731,13252,47885,2.8
1077,Winter Discount,2025-03-17,195479,5476,760,2509,13963,14884,5.57
1078,Winter Discount,2025-03-18,145101,2674,713,4778,8195,30262,1.72
1079,Holiday Special,2025-03-19,66144,543,1277,2625,16257,6387,6.19
1080,Summer Sale,2025-03-20,31174,2492,1396,4803,10305,29637,2.15
1081,Summer Sale,2025-03-21,50807,1626,1943,4349,5428,18106,1.25
1082,New Arrivals,2025-03-22,42733,12417,1635,4591,1233,33690,0.27
1083,Winter Discount,2025-03-23,142363,5039,1114,1795,23879,26399,13.3
1084,Winter Discount,2025-03-24,103999,4557,1076,145,10963,39517,75.61
1085,Black Friday,2025-03-25,83624,7894,1574,3265,9062,14750,2.78
1086,New Arrivals,2025-03-26,105210,11494,1705,3769,12356,32965,3.28
1087,Holiday Special,2025-03-27,122407,5349,1687,3508,13452,14685,3.83
1088,New Arrivals,2025-03-28,111302,4258,1516,421,6496,49377,15.43
1089,Winter Discount,2025-03-29,168877,1216,1953,1978,20674,33955,10.45
1090,New Arrivals,2025-03-30,107729,13539,1064,2182,14503,5421,6.65
1091,Winter Discount,2025-03-01,75220,9571,1186,4777,21885,21161,4.58
1092,Black Friday,2025-03-02,14059,14552,65,4749,22454,23996,4.73
1093,New Arrivals,2025-03-03,109459,10691,1234,2406,20309,25400,8.44
1094,Holiday Special,2025-03-04,139763,6442,1808,2906,6301,10387,2.17
1095,Summer Sale,2025-03-05,28057,9751,431,4327,4076,29390,0.94
1096,Holiday Special,2025-03-06,199029,14174,1599,4561,23192,24356,5.08
1097,Summer Sale,2025-03-07,118021,4289,805,1194,21689,23254,18.16
1098,New Arrivals,2025-03-08,192828,2937,1249,3893,12243,41200,3.14
1099,Summer Sale,2025-03-09,108862,11105,874,754,11714,11660,15.54
1100,New Arrivals,2025-03-10,38900,1180,1556,4009,9814,44563,2.45
1101,Holiday Special,2025-03-11,184404,14420,612,3765,16910,2206,4.49
1102,Black Friday,2025-03-12,15822,8601,1898,846,20652,47662,24.41
1103,Black Friday,2025-03-13,96191,8986,906,1564,21520,27818,13.76
1104,Winter Discount,2025-03-14,57470,12323,343,4360,11129,33370,2.55
1105,New Arrivals,2025-03-15,100187,1780,1307,3313,12205,5348,3.68
1106,Summer Sale,2025-03-16,111608,4684,324,3776,21850,34241,5.79
1107,Black Friday,2025-03-17,142904,2179,148,837,18519,22355,22.13
1108,New Arrivals,2025-03-18,194648,6914,1466,1535,12260,5261,7.99
1109,Holiday Special,2025-03-19,192010,7492,232,2732,16404,2093,6.0
1110,Holiday Special,2025-03-20,160551,2962,477,1180,14656,30350,12.42
1111,Winter Discount,2025-03-21,94287,1309,1978,2913,24693,20166,8.48
1112,Winter Discount,2025-03-22,12132,2638,1100,2855,5964,25692,2.09
1113,Black Friday,2025-03-23,156029,13153,1803,4892,7645,11399,1.56
1114,New Arrivals,2025-03-24,151869,2963,427,1651,11853,21644,7.18
1115,Winter Discount,2025-03-25,76517,5793,170,3615,7173,45895,1.98
1116,Winter Discount,2025-03-26,116218,2011,283,2766,10107,21817,3.65
1117,Holiday Special,2025-03-27,89760,9492,104,4930,1974,30436,0.4
1118,Winter Discount,2025-03-28,29350,5992,1894,718,4264,18252,5.94
1119,Summer Sale,2025-03-29,59960,4025,1501,3578,19126,43047,5.35
1120,Black Friday,2025-03-30,33135,7500,1089,4498,18839,40195,4.19
1121,New Arrivals,2025-03-01,32303,2984,1809,1628,21463,25546,13.18
1122,Winter Discount,2025-03-02,184346,14225,1407,4770,2502,47611,0.52
1123,New Arrivals,2025-03-03,88558,12744,917,4165,14540,10662,3.49
1124,Black Friday,2025-03-04,171011,8177,1875,3014,21637,43604,7.18
1125,New Arrivals,2025-03-05,27886,1642,1155,3178,22979,20575,7.23
1126,Holiday Special,2025-03-06,61372,5877,385,1715,715,12777,0.42
1127,Winter Discount,2025-03-07,126907,8879,1600,3644,9143,44463,2.51
1128,New Arrivals,2025-03-08,67912,10340,1917,2419,7433,26232,3.07
1129,Summer Sale,2025-03-09,10330,7273,985,4131,13104,38085,3.17
1130,Winter Discount,2025-03-10,76755,2125,525,313,11305,48868,36.12
1131,Holiday Special,2025-03-11,89872,11298,318,243,21045,5059,86.6
1132,Holiday Special,2025-03-12,51335,4409,1142,914,16422,12064,17.97
1133,New Arrivals,2025-03-13,124832,14012,1200,4658,15993,24299,3.43
1134,Holiday Special,2025-03-14,56073,4596,1519,1899,15140,5711,7.97
1135,Black Friday,2025-03-15,137901,11637,692,4778,3039,31110,0.64
1136,Black Friday,2025-03-16,46719,8028,1197,4111,3801,49335,0.92
1137,Black Friday,2025-03-17,97362,6046,513,582,2882,30113,4.95
1138,Winter Discount,2025-03-18,175009,6095,1714,3596,16997,20135,4.73
1139,Black Friday,2025-03-19,123606,4302,1436,4203,14600,49276,3.47
1140,Winter Discount,2025-03-20,180609,8000,1452,648,6198,18909,9.56
1141,New Arrivals,2025-03-21,69745,3506,1136,1688,17620,6215,10.44
1142,Summer Sale,2025-03-22,55644,6725,187,3804,1409,17120,0.37
1143,New Arrivals,2025-03-23,53620,10701,1196,4277,18431,9190,4.31
1144,Winter Discount,2025-03-24,131425,8633,846,4053,6616,10204,1.63
1145,New Arrivals,2025-03-25,192005,1248,783,3994,24723,6867,6.19
1146,Summer Sale,2025-03-26,199602,14692,1301,2449,15735,31482,6.43
1147,Winter Discount,2025-03-27,25501,9091,1564,4103,899,4258,0.22
1148,Summer Sale,2025-03-28,190051,2023,1397,2981,13136,24305,4.41
1149,Winter Discount,2025-03-29,43986,560,1429,2598,11005,22072,4.24
1150,New Arrivals,2025-03-30,134255,9618,1664,2957,15093,14605,5.1
1151,Winter Discount,2025-03-01,19273,10598,965,4501,13162,13305,2.92
1152,Winter Discount,2025-03-02,154824,12367,1488,2348,2720,19285,1.16
1153,New Arrivals,2025-03-03,127999,3449,1141,4305,18126,12362,4.21
1154,Black Friday,2025-03-04,162937,3854,1321,2337,23413,4345,10.02
1155,New Arrivals,2025-03-05,50407,11320,1552,994,3232,2640,3.25
1156,Summer Sale,2025-03-06,19647,4865,971,2793,11533,16810,4.13
1157,Black Friday,2025-03-07,130694,10726,1891,313,8727,18731,27.88
1158,Holiday Special,2025-03-08,51607,5555,85,2509,23887,49453,9.52
1159,Holiday Special,2025-03-09,25852,8392,972,2421,1680,11612,0.69
1160,Summer Sale,2025-03-10,59946,13545,1888,4583,14066,15957,3.07
1161,Summer Sale,2025-03-11,51758,10348,1880,2994,824,29039,0.28
1162,Winter Discount,2025-03-12,61369,5025,1416,3152,23741,22946,7.53
1163,Holiday Special,2025-03-13,135920,8195,236,1067,22521,49416,21.11
1164,Winter Discount,2025-03-14,141051,6435,945,3439,9946,28525,2.89
1165,New Arrivals,2025-03-15,105702,9564,711,1055,5727,17521,5.43
1166,Black Friday,2025-03-16,74087,5002,78,4583,23045,35710,5.03
1167,Summer Sale,2025-03-17,147743,1768,1569,4227,9831,9011,2.33
1168,Winter Discount,2025-03-18,64835,14088,1093,4392,9866,16026,2.25
1169,Holiday Special,2025-03-19,64777,10690,50,2792,22739,44774,8.14
1170,Black Friday,2025-03-20,105904,8508,1467,2362,9019,40521,3.82
1171,Summer Sale,2025-03-21,145647,13391,286,2745,23791,44332,8.67
1172,Black Friday,2025-03-22,114959,12771,1428,2311,5002,13555,2.16
1173,Black Friday,2025-03-23,59402,6919,426,2159,14247,47347,6.6
1174,Summer Sale,2025-03-24,178735,8373,274,113,21330,15712,188.76
1175,New Arrivals,2025-03-25,42165,5912,1502,4809,13845,39909,2.88
1176,Winter Discount,2025-03-26,62839,10579,1166,1891,19651,20764,10.39
1177,Holiday Special,2025-03-27,32727,2867,646,622,10837,47927,17.42
1178,Black Friday,2025-03-28,157536,14711,1021,3355,7456,23447,2.22
1179,Winter Discount,2025-03-29,135403,12879,756,3629,16586,27336,4.57
1180,Black Friday,2025-03-30,40929,4240,892,4109,23296,36527,5.67
1181,Holiday Special,2025-03-01,22302,12343,772,3432,8092,43271,2.36
1182,Winter Discount,2025-03-02,148354,13365,1749,3910,11903,23138,3.04
1183,Summer Sale,2025-03-03,83991,9616,1766,3622,2759,42897,0.76
1184,Winter Discount,2025-03-04,196211,11548,1945,2884,17050,48069,5.91
1185,Holiday Special,2025-03-05,32818,1679,1882,580,13637,3736,23.51
1186,Winter Discount,2025-03-06,186571,8538,2000,406,16216,18029,39.94
1187,Holiday Special,2025-03-07,82340,13580,476,4474,5987,13141,1.34
1188,Holiday Special,2025-03-08,181388,14812,1399,2868,5468,14291,1.91
1189,Summer Sale,2025-03-09,14507,14083,813,3240,14896,10443,4.6
1190,Holiday Special,2025-03-10,72143,11624,1131,4867,12586,36386,2.59
1191,Black Friday,2025-03-11,126726,2260,1466,3054,14873,17883,4.87
1192,Summer Sale,2025-03-12,63441,6404,1758,3963,11720,45235,2.96
1193,Winter Discount,2025-03-13,16282,997,644,4559,4708,42637,1.03
1194,Winter Discount,2025-03-14,12812,2384,663,109,10943,15625,100.39
1195,New Arrivals,2025-03-15,130422,11270,1041,223,7309,23489,32.78
1196,Black Friday,2025-03-16,94001,12330,745,2476,11466,49605,4.63
1197,Winter Discount,2025-03-17,152022,6742,1982,3948,19443,19802,4.92
1198,Holiday Special,2025-03-18,181094,10292,658,836,9182,46247,10.98
1199,New Arrivals,2025-03-19,12794,13974,1021,3514,20109,20098,5.72
1200,Summer Sale,2025-03-20,16713,3467,1591,4645,6688,22947,1.44
1201,Holiday Special,2025-03-21,80570,2504,935,3876,11984,22057,3.09
1202,Summer Sale,2025-03-22,150593,1095,921,2334,20418,24319,8.75
1203,Winter Discount,2025-03-23,189477,12864,230,510,19277,20691,37.8
1204,New Arrivals,2025-03-24,73444,10321,510,1431,22094,34585,15.44
1205,New Arrivals,2025-03-25,160533,11288,1207,574,11600,3004,20.21
1206,Holiday Special,2025-03-26,136128,14766,576,4710,5335,34758,1.13
1207,Winter Discount,2025-03-27,183896,1938,589,1055,21741,33387,20.61
1208,Winter Discount,2025-03-28,120635,14201,1416,3559,24437,31402,6.87
1209,Winter Discount,2025-03-29,92384,6199,1532,743,21481,5492,28.91
1210,Winter Discount,2025-03-30,53946,3363,750,742,18327,26581,24.7
1211,New Arrivals,2025-03-01,78904,9499,1048,3451,636,32197,0.18
1212,Summer Sale,2025-03-02,154901,13462,1720,507,19668,48884,38.79
1213,Winter Discount,2025-03-03,17232,13669,1580,2935,14652,11227,4.99
1214,Summer Sale,2025-03-04,73510,5986,1291,1429,9650,30535,6.75
1215,Winter Discount,2025-03-05,181497,13055,690,1187,18258,38976,15.38
1216,New Arrivals,2025-03-06,112567,13545,217,718,21960,16368,30.58
1217,Winter Discount,2025-03-07,177312,2890,724,3758,14445,16445,3.84
1218,New Arrivals,2025-03-08,97818,682,566,3695,14062,45334,3.81
1219,New Arrivals,2025-03-09,50228,852,467,3372,14375,40320,4.26
1220,Summer Sale,2025-03-10,147235,12657,334,3772,575,4520,0.15
1221,Summer Sale,2025-03-11,100003,5072,1781,4689,12026,40930,2.56
1222,Winter Discount,2025-03-12,89262,10283,900,4045,20099,14304,4.97
1223,New Arrivals,2025-03-13,121627,12003,1234,3932,13877,21451,3.53
1224,New Arrivals,2025-03-14,178674,9117,1514,669,22412,47689,33.5
1225,New Arrivals,2025-03-15,125016,8768,1525,3233,786,27149,0.24
1226,Summer Sale,2025-03-16,12446,12933,183,3648,2308,22558,0.63
1227,Holiday Special,2025-03-17,179198,5206,1143,4669,6607,19176,1.42
1228,Winter Discount,2025-03-18,90077,6589,1039,253,13237,30022,52.32
1229,Summer Sale,2025-03-19,31836,2159,1669,519,3243,27257,6.25
1230,New Arrivals,2025-03-20,38489,2447,744,1401,9610,17448,6.86
1231,Winter Discount,2025-03-21,62899,4049,1522,3774,19134,3124,5.07
1232,Winter Discount,2025-03-22,149854,9520,97,3107,5541,14139,1.78
1233,Summer Sale,2025-03-23,82084,11854,444,4292,17501,41295,4.08
1234,Summer Sale,2025-03-24,115393,1299,1205,2397,1881,47751,0.78
1235,Winter Discount,2025-03-25,106144,8378,835,2334,24116,23730,10.33
1236,Winter Discount,2025-03-26,183706,931,989,1586,7111,24717,4.48
1237,Summer Sale,2025-03-27,193556,10179,1478,2924,670,48173,0.23
1238,New Arrivals,2025-03-28,124379,5173,1278,2783,17217,17960,6.19
1239,New Arrivals,2025-03-29,58402,13768,1468,2169,18136,34458,8.36
1240,Winter Discount,2025-03-30,168314,11394,1799,2598,2696,20381,1.04
1241,New Arrivals,2025-03-01,42427,3328,1621,3981,10233,34177,2.57
1242,Summer Sale,2025-03-02,159240,2793,245,1869,21307,19044,11.4
1243,New Arrivals,2025-03-03,121678,4171,905,4516,4428,25646,0.98
1244,Winter Discount,2025-03-04,38104,565,989,690,8415,5825,12.2
1245,Summer Sale,2025-03-05,60263,11736,1545,1427,10087,36818,7.07
1246,Summer Sale,2025-03-06,117870,3333,1116,4501,23032,48027,5.12
1247,Black Friday,2025-03-07,106543,3919,1956,4040,9711,36478,2.4
1248,Summer Sale,2025-03-08,52552,1559,273,1421,9612,47020,6.76
1249,Black Friday,2025-03-09,90593,10058,1335,865,12483,29432,14.43
1250,Holiday Special,2025-03-10,71862,1676,126,2265,6166,26132,2.72
1251,New Arrivals,2025-03-11,139227,12696,1550,2191,9907,37210,4.52
1252,Holiday Special,2025-03-12,66348,12626,1803,4652,11615,11463,2.5
1253,Winter Discount,2025-03-13,40220,2909,1973,559,16550,12290,29.61
1254,Summer Sale,2025-03-14,33668,9471,253,1903,15768,15107,8.29
1255,Black Friday,2025-03-15,99162,9146,1447,2613,21992,26138,8.42
1256,New Arrivals,2025-03-16,102934,12439,1533,3751,2477,18703,0.66
1257,Black Friday,2025-03-17,154484,10154,830,3086,7615,32446,2.47
1258,Summer Sale,2025-03-18,20416,3912,1910,3369,7869,14817,2.34
1259,Summer Sale,2025-03-19,22541,10831,533,4880,8837,17331,1.81
1260,Black Friday,2025-03-20,33630,8828,454,4347,2030,34952,0.47
1261,Winter Discount,2025-03-21,30374,9668,1908,4710,16719,28604,3.55
1262,Winter Discount,2025-03-22,189190,12049,867,1446,9038,19528,6.25
1263,New Arrivals,2025-03-23,81334,4092,1908,4934,17837,18939,3.62
1264,Black Friday,2025-03-24,197972,8633,1742,2750,9318,38635,3.39
1265,Winter Discount,2025-03-25,67686,3137,1995,347,8550,11470,24.64
1266,Black Friday,2025-03-26,28310,1683,1120,3308,2600,29209,0.79
1267,Holiday Special,2025-03-27,93619,7149,1088,2441,7690,48504,3.15
1268,Black Friday,2025-03-28,71596,1161,126,2140,14119,30136,6.6
1269,New Arrivals,2025-03-29,36755,3620,1220,1737,979,42277,0.56
1270,Black Friday,2025-03-30,108907,6046,1485,4761,19141,39353,4.02
1271,Black Friday,2025-03-01,92747,14508,103,2071,3213,47725,1.55
1272,Summer Sale,2025-03-02,96629,13912,1559,3433,24885,13952,7.25
1273,Winter Discount,2025-03-03,55470,1521,491,3628,2074,45219,0.57
1274,Summer Sale,2025-03-04,106867,7507,1507,3210,20238,15019,6.3
1275,Winter Discount,2025-03-05,167152,7131,654,749,808,35959,1.08
1276,New Arrivals,2025-03-06,150202,8043,805,866,18372,34487,21.21
1277,Black Friday,2025-03-07,61665,12626,1735,3475,10795,38685,3.11
1278,Summer Sale,2025-03-08,49560,3629,720,3012,7032,16386,2.33
1279,New Arrivals,2025-03-09,70803,12346,1396,1045,1428,29405,1.37
1280,Winter Discount,2025-03-10,78996,14814,1452,4347,15875,36730,3.65
1281,Winter Discount,2025-03-11,158818,7295,359,2704,3758,38511,1.39
1282,New Arrivals,2025-03-12,71951,13511,852,2173,24133,2826,11.11
1283,Winter Discount,2025-03-13,123564,1662,1800,378,19606,20560,51.87
1284,Summer Sale,2025-03-14,146595,4043,1988,2689,17111,29825,6.36
1285,New Arrivals,2025-03-15,66549,9710,1035,1283,9801,29230,7.64
1286,Winter Discount,2025-03-16,43141,6037,1143,4268,19817,31826,4.64
1287,Holiday Special,2025-03-17,168154,4705,1944,390,22217,2180,56.97
1288,Holiday Special,2025-03-18,18658,3722,168,1470,7502,23128,5.1
1289,Holiday Special,2025-03-19,38696,12724,617,1996,9115,46270,4.57
1290,New Arrivals,2025-03-20,91942,10469,494,2674,22775,20471,8.52
1291,Summer Sale,2025-03-21,56311,3357,1473,3608,13357,14986,3.7
1292,Winter Discount,2025-03-22,121673,6117,1264,1561,6678,34352,4.28
1293,Black Friday,2025-03-23,122446,13957,197,1991,20731,11280,10.41
1294,Summer Sale,2025-03-24,180905,584,508,1296,8777,42412,6.77
1295,Black Friday,2025-03-25,31702,12603,1184,2589,4327,13776,1.67
1296,Black Friday,2025-03-26,187073,11849,952,4825,21364,44029,4.43
1297,Summer Sale,2025-03-27,67925,9767,1925,4265,2036,43542,0.48
1298,Winter Discount,2025-03-28,134305,11493,609,4304,12495,28040,2.9
1299,New Arrivals,2025-03-29,105106,1432,1468,4668,14217,28300,3.05
1300,Summer Sale,2025-03-30,170769,1681,1875,4407,11495,34413,2.61
1301,New Arrivals,2025-03-01,119162,2034,169,4739,6741,2762,1.42
1302,Black Friday,2025-03-02,90700,9265,300,2296,12062,26848,5.25
1303,Holiday Special,2025-03-03,172703,2207,1321,937,1599,7321,1.71
1304,Winter Discount,2025-03-04,166602,12039,1544,3684,3052,24919,0.83
1305,New Arrivals,2025-03-05,78846,2985,670,4275,15536,41551,3.63
1306,Winter Discount,2025-03-06,84053,10589,1219,2846,10113,3459,3.55
1307,New Arrivals,2025-03-07,38942,4225,1685,3033,16471,28449,5.43
1308,Black Friday,2025-03-08,97529,9020,1072,1674,7117,25831,4.25
1309,Summer Sale,2025-03-09,55016,12721,1948,4389,21024,10045,4.79
1310,Winter Discount,2025-03-10,165998,13478,938,2534,15800,12753,6.24
1311,New Arrivals,2025-03-11,115092,14192,537,1680,16584,31954,9.87
1312,New Arrivals,2025-03-12,112294,1788,702,2965,10176,24917,3.43
1313,Summer Sale,2025-03-13,129334,5438,521,181,6343,44292,35.04
1314,Holiday Special,2025-03-14,149139,1739,1900,2807,3690,14473,1.31
1315,Black Friday,2025-03-15,46134,5880,588,892,21068,41648,23.62
1316,Winter Discount,2025-03-16,172803,3556,646,1248,22856,26911,18.31
1317,Summer Sale,2025-03-17,151552,13762,1757,4737,22683,7085,4.79
1318,New Arrivals,2025-03-18,140495,8012,1110,572,16542,9434,28.92
1319,Black Friday,2025-03-19,183513,13561,902,4752,1806,45459,0.38
1320,Holiday Special,2025-03-20,121989,3721,1794,2835,9970,33180,3.52
1321,Holiday Special,2025-03-21,12144,12495,1869,4107,12230,28244,2.98
1322,Winter Discount,2025-03-22,189936,6443,84,4582,13655,41694,2.98
1323,Black Friday,2025-03-23,104417,5371,1316,2662,9248,4268,3.47
1324,Holiday Special,2025-03-24,176484,10826,1756,3196,11864,11646,3.71
1325,Holiday Special,2025-03-25,54348,10490,282,3591,12188,31998,3.39
1326,Summer Sale,2025-03-26,61471,10279,144,2082,20233,34420,9.72
1327,Winter Discount,2025-03-27,65949,13789,1636,4749,6908,46971,1.45
1328,Summer Sale,2025-03-28,167444,2099,1957,1286,21951,49736,17.07
1329,Black Friday,2025-03-29,99489,501,1915,1606,7098,46945,4.42
1330,Summer Sale,2025-03-30,195076,7535,264,3496,2995,21143,0.86
1331,New Arrivals,2025-03-01,163460,6586,609,1575,7316,14165,4.65
1332,Summer Sale,2025-03-02,157472,10073,1256,179,2693,27592,15.04
1333,Holiday Special,2025-03-03,54767,2500,1343,3107,6887,23735,2.22
1334,Black Friday,2025-03-04,112643,7628,181,137,2726,30038,19.9
1335,New Arrivals,2025-03-05,158323,14906,590,2687,12112,31355,4.51
1336,Black Friday,2025-03-06,105643,9854,1863,2518,4595,39293,1.82
1337,Black Friday,2025-03-07,38396,10713,741,2774,1078,40638,0.39
1338,New Arrivals,2025-03-08,61855,11600,289,4208,7636,35130,1.81
1339,Summer Sale,2025-03-09,168709,14321,1936,815,9093,35675,11.16
1340,New Arrivals,2025-03-10,34144,8421,289,125,7914,11734,63.31
1341,Summer Sale,2025-03-11,104566,11373,542,4494,20259,20230,4.51
1342,New Arrivals,2025-03-12,106825,14207,318,3327,21583,29066,6.49
1343,New Arrivals,2025-03-13,159504,14450,630,701,19269,25612,27.49
1344,New Arrivals,2025-03-14,151011,802,1897,2224,8146,7713,3.66
1345,Winter Discount,2025-03-15,127059,1094,1034,4360,22367,43041,5.13
1346,Summer Sale,2025-03-16,191420,14284,896,2219,15886,11726,7.16
1347,Holiday Special,2025-03-17,46987,2827,1104,990,9699,3513,9.8
1348,Winter Discount,2025-03-18,16059,11257,1934,1300,9202,42353,7.08
1349,Summer Sale,2025-03-19,13724,3172,709,4249,5736,12632,1.35
1350,Winter Discount,2025-03-20,193348,3571,1799,3087,11514,42398,3.73
1351,New Arrivals,2025-03-21,86766,6722,498,3128,10624,21634,3.4
1352,Winter Discount,2025-03-22,107501,7358,593,857,21095,37824,24.61
1353,Winter Discount,2025-03-23,12762,1789,1463,3646,11754,9606,3.22
1354,Black Friday,2025-03-24,195916,3789,1869,2302,20499,28370,8.9
1355,Black Friday,2025-03-25,34276,11664,857,3461,3127,29833,0.9
1356,New Arrivals,2025-03-26,145101,5854,1770,4503,6024,3707,1.34
1357,New Arrivals,2025-03-27,123627,7549,413,1366,16815,19620,12.31
1358,Holiday Special,2025-03-28,75121,6945,956,3410,22318,34069,6.54
1359,Summer Sale,2025-03-29,140705,14214,722,4911,6054,48769,1.23
1360,Black Friday,2025-03-30,156173,7361,148,1809,21471,41334,11.87
1361,Summer Sale,2025-03-01,83595,6444,501,2179,8175,18809,3.75
1362,Holiday Special,2025-03-02,115318,12261,1969,1094,13273,42233,12.13
1363,Holiday Special,2025-03-03,143016,11250,374,4043,23062,25284,5.7
1364,Holiday Special,2025-03-04,102192,8298,667,4510,8354,18138,1.85
